neutron
1.99E+01	2.08E+00
2.00E+01	1.90E+00
2.01E+01	1.74E+00
2.02E+01	1.59E+00
2.03E+01	1.46E+00
2.04E+01	1.33E+00
2.05E+01	1.22E+00
2.06E+01	1.11E+00
2.07E+01	1.02E+00
2.08E+01	9.30E-01
2.09E+01	8.50E-01
2.10E+01	7.77E-01
2.11E+01	7.10E-01
2.12E+01	6.49E-01
2.13E+01	5.93E-01
2.14E+01	5.42E-01
2.15E+01	4.95E-01
2.16E+01	4.53E-01
2.17E+01	4.14E-01
2.18E+01	3.78E-01
2.19E+01	3.45E-01
2.20E+01	3.15E-01
2.21E+01	2.88E-01
2.22E+01	2.63E-01
2.23E+01	2.41E-01
2.24E+01	2.20E-01
2.25E+01	2.01E-01
2.26E+01	1.83E-01
2.27E+01	1.67E-01
2.28E+01	1.53E-01
2.29E+01	1.40E-01
2.30E+01	1.28E-01
2.31E+01	1.16E-01
2.32E+01	1.06E-01
2.33E+01	9.71E-02
2.34E+01	8.87E-02
2.35E+01	8.10E-02
2.36E+01	7.39E-02
2.37E+01	6.75E-02
2.38E+01	6.16E-02
2.39E+01	5.62E-02
2.40E+01	5.13E-02
2.41E+01	4.69E-02
2.42E+01	4.28E-02
2.43E+01	3.90E-02
2.44E+01	3.56E-02
2.45E+01	3.25E-02
2.46E+01	2.97E-02
2.47E+01	2.71E-02
2.48E+01	2.47E-02
2.49E+01	2.26E-02
2.50E+01	2.06E-02
2.51E+01	1.88E-02
2.52E+01	1.71E-02
2.53E+01	1.56E-02
2.54E+01	1.43E-02
2.55E+01	1.30E-02
2.56E+01	1.19E-02
2.57E+01	1.08E-02
2.58E+01	9.88E-03
2.59E+01	9.01E-03
2.60E+01	8.22E-03
2.61E+01	7.50E-03
2.62E+01	6.84E-03
2.63E+01	6.24E-03
2.64E+01	5.69E-03
2.65E+01	5.19E-03
2.66E+01	4.73E-03
2.67E+01	4.31E-03
2.68E+01	3.93E-03
2.69E+01	3.59E-03
2.70E+01	3.27E-03
2.71E+01	2.98E-03
2.72E+01	2.72E-03
2.73E+01	2.48E-03
2.74E+01	2.26E-03
2.75E+01	2.06E-03
2.76E+01	1.88E-03
2.77E+01	1.71E-03
2.78E+01	1.56E-03
2.79E+01	1.42E-03
2.80E+01	1.30E-03
2.81E+01	1.18E-03
2.82E+01	1.08E-03
2.83E+01	9.83E-04
2.84E+01	8.96E-04
2.85E+01	8.16E-04
2.86E+01	7.44E-04
2.87E+01	6.78E-04
2.88E+01	6.18E-04
2.89E+01	5.63E-04
2.90E+01	5.13E-04
2.91E+01	4.67E-04
2.92E+01	4.26E-04
2.93E+01	3.88E-04
2.94E+01	3.54E-04
2.95E+01	3.22E-04
2.96E+01	2.94E-04
2.97E+01	2.67E-04
2.98E+01	2.44E-04
2.99E+01	2.22E-04
3.00E+01    0.0
